charge_end_I,charge_end_U,charge_end_soc,charge_energy,charge_max_temp,charge_min_temp,charge_start_I,charge_start_U,charge_start_soc,mileage,vehicle_id,year,month,week,day,hour,night,start,end,second_interval,charge_hour,dU,dsoc,ddsoc,dsoc/hour,dtemp,dmileage,dmileage/soc,interval_min,dU/dsoc,sum_charge,phase,energy/dsoc,P/kW,charge_mode
-7.7,398.2,100.0,21.11,18,10,-7.7,363.8,34.0,82965.6,1,2017,11,4,3,20,0,2017-11-03 20:37:11,2017-11-04 03:54:11,26220.0,7.283333333333333,34.39999999999998,66.0,40.400000000000006,9.061784897025172,8,82.30000000000291,2.037128712871359,174.35,0.5212121212121209,7.283333333333333,0,0.3198484848484848,2.8983981693363843,0
-40.4,389.8,99.2,17.705,23,14,-26.8,369.3,43.2,83082.5,1,2017,11,5,4,15,0,2017-11-04 15:25:12,2017-11-04 16:34:02,4130.0,1.1472222222222221,20.5,56.0,56.8,48.8135593220339,9,116.89999999999418,2.0580985915491934,691.0166666666667,0.36607142857142855,8.430555555555555,0,0.31616071428571424,15.432929782082324,1
-7.8,397.5,100.0,16.166,18,12,-7.6,367.4,50.4,83184.8,1,2017,11,5,4,20,0,2017-11-04 20:24:45,2017-11-05 01:58:35,20030.0,5.563888888888889,30.100000000000023,49.6,48.800000000000004,8.91462805791313,6,102.30000000000291,2.0963114754098955,230.71666666666667,0.6068548387096778,13.994444444444444,0,0.3259274193548387,2.905521717423864,0
-40.5,382.0,88.8,20.595,27,18,-23.2,361.0,23.2,83339.0,1,2017,11,6,5,13,0,2017-11-05 13:52:03,2017-11-05 15:13:23,4880.0,1.3555555555555556,21.0,65.6,76.8,48.393442622950815,9,154.1999999999971,2.0078124999999623,713.4666666666667,0.3201219512195122,15.35,0,0.31394817073170733,15.193032786885244,1
-7.6,399.9,100.0,23.765,22,13,-7.7,359.0,27.2,83459.4,1,2017,11,6,5,20,0,2017-11-05 20:44:56,2017-11-06 04:56:55,29519.0,8.199722222222222,40.89999999999998,72.8,61.599999999999994,8.878349537585962,9,120.39999999999418,1.9545454545453602,331.55,0.5618131868131865,23.549722222222222,0,0.3264423076923077,2.8982689115484943,0
-40.4,386.5,97.6,20.668000000000003,26,16,-39.5,366.4,32.0,83599.5,1,2017,11,0,6,13,0,2017-11-06 13:25:56,2017-11-06 14:46:36,4840.0,1.3444444444444446,20.100000000000023,65.6,68.0,48.793388429752056,10,140.10000000000582,2.0602941176471443,509.01666666666665,0.3064024390243906,24.894166666666667,0,0.31506097560975616,15.372892561983472,1
-7.7,398.7,100.0,24.67,22,13,-7.8,357.6,24.4,83750.7,1,2017,11,0,6,21,0,2017-11-06 21:26:08,2017-11-07 05:57:18,30670.0,8.519444444444444,41.099999999999966,75.6,73.19999999999999,8.873818063253994,9,151.1999999999971,2.065573770491764,399.53333333333336,0.5436507936507933,33.41361111111111,0,0.32632275132275135,2.8957287251385724,0
-40.6,381.1,80.0,10.058,24,18,-26.4,369.8,48.0,83852.4,1,2017,11,1,7,15,0,2017-11-07 15:16:04,2017-11-07 15:55:24,2360.0,0.6555555555555556,11.300000000000011,32.0,52.0,48.813559322033896,6,101.69999999999709,1.9557692307691747,558.7666666666667,0.35312500000000036,34.06916666666667,0,0.3143125,15.342711864406779,1
-7.7,397.1,100.0,19.344,21,15,-7.6,365.2,40.4,83934.0,1,2017,11,1,7,20,0,2017-11-07 20:11:45,2017-11-08 02:51:14,23969.0,6.658055555555555,31.900000000000034,59.6,39.6,8.951562434811633,6,81.60000000000582,2.0606060606062075,256.35,0.5352348993288596,40.727222222222224,0,0.32456375838926177,2.9053527472985943,0
-37.8,380.7,80.4,14.944,24,17,-62.8,368.7,33.2,84072.1,1,2017,11,2,8,14,0,2017-11-08 14:28:51,2017-11-08 15:31:51,3780.0,1.05,12.0,47.2,66.8,44.952380952380956,7,138.10000000000582,2.067365269461165,697.6166666666667,0.2542372881355932,41.77722222222222,0,0.31661016949152543,14.232380952380952,1
