charge_end_I,charge_end_U,charge_end_soc,charge_energy,charge_max_temp,charge_min_temp,charge_start_I,charge_start_U,charge_start_soc,mileage,vehicle_id,year,month,week,day,hour,night,start,end,second_interval,charge_hour,dU,dsoc,ddsoc,dsoc/hour,dtemp,dmileage,dmileage/soc,interval_min,dU/dsoc,sum_charge,phase,energy/dsoc,P/kW,charge_mode
-7.7,389.9,100.0,6.507000000000001,20,17,-7.8,370.9,80.4,69408.0,3,2017,11,2,1,13,0,2017-11-01 13:54:29,2017-11-01 16:08:49,8060.0,2.238888888888889,19.0,19.599999999999994,19.599999999999994,8.754342431761783,3,,,,0.9693877551020411,2.238888888888889,0,0.33198979591836747,2.9063523573200993,0
-7.7,392.4,100.0,22.281999999999996,21,13,-7.8,360.2,29.6,69538.0,3,2017,11,2,1,21,0,2017-11-01 21:11:46,2017-11-02 04:55:30,27824.0,7.728888888888889,32.19999999999999,70.4,70.4,9.108683151236344,8,130.0,1.846590909090909,302.95,0.4573863636363634,9.967777777777778,0,0.3165056818181817,2.882949971247843,0
-3.8,394.0,100.0,19.95,27,18,-22.9,365.7,38.0,69657.1,3,2017,11,3,2,20,0,2017-11-02 20:40:19,2017-11-02 22:01:19,4860.0,1.35,28.30000000000001,62.0,62.0,45.925925925925924,9,119.10000000000582,1.9209677419355777,944.8166666666667,0.456451612903226,11.317777777777778,0,0.3217741935483871,14.777777777777777,1
-15.9,392.0,100.0,21.241999999999997,24,12,-23.1,363.7,32.0,69768.6,3,2017,11,4,3,20,0,2017-11-03 20:12:12,2017-11-03 21:35:42,5010.0,1.3916666666666666,28.30000000000001,68.0,68.0,48.8622754491018,12,111.5,1.6397058823529411,1330.8833333333334,0.4161764705882355,12.709444444444443,0,0.31238235294117644,15.263712574850299,1
-29.7,389.3,100.0,19.39,24,16,-40.3,368.8,38.4,69882.6,3,2017,11,5,4,15,0,2017-11-04 15:45:35,2017-11-04 17:24:55,5960.0,1.6555555555555554,20.5,61.6,61.6,37.20805369127517,8,114.0,1.8506493506493507,1089.8833333333334,0.3327922077922078,14.364999999999998,0,0.31477272727272726,11.712080536912753,1
-7.8,391.2,100.0,22.404,21,10,-7.6,359.2,30.4,69996.8,3,2017,11,5,4,21,0,2017-11-04 21:50:13,2017-11-05 05:36:42,27989.0,7.7747222222222225,32.0,69.6,69.6,8.952088320411589,11,114.19999999999709,1.6408045977011076,265.3,0.4597701149425288,22.139722222222222,0,0.32189655172413795,2.8816463610704206,0
-3.2,392.7,100.0,22.94,26,16,-23.1,361.6,27.6,70130.1,3,2017,11,6,5,17,0,2017-11-05 17:45:42,2017-11-05 19:17:12,5490.0,1.525,31.099999999999966,72.4,72.4,47.47540983606558,10,133.3000000000029,1.8411602209945153,729.0,0.42955801104972324,23.66472222222222,0,0.3168508287292818,15.042622950819673,1
-2.3,393.5,100.0,21.805,22,8,-22.8,363.0,31.6,70257.5,3,2017,11,0,6,7,0,2017-11-06 07:15:56,2017-11-06 08:46:06,5410.0,1.5027777777777778,30.5,68.4,68.4,45.51571164510167,14,127.39999999999418,1.8625730994151195,718.7333333333333,0.445906432748538,25.167499999999997,0,0.3187865497076023,14.509796672828095,1
-39.6,375.6,36.0,3.4,17,14,-32.9,360.1,25.2,70400.2,3,2017,11,1,7,10,0,2017-11-07 10:31:39,2017-11-07 10:45:19,820.0,0.22777777777777777,15.5,10.8,74.8,47.41463414634147,3,142.6999999999971,1.9077540106951483,1545.55,1.4351851851851851,25.395277777777775,0,0.31481481481481477,14.926829268292682,1
-2.9,385.6,100.0,20.491999999999997,26,16,-23.3,368.5,34.0,70403.8,3,2017,11,1,7,10,0,2017-11-07 10:53:34,2017-11-07 12:14:14,4840.0,1.3444444444444446,17.100000000000023,66.0,2.0,49.090909090909086,10,3.6000000000058208,1.8000000000029104,8.25,0.2590909090909094,26.73972222222222,0,0.3104848484848484,15.241983471074377,1
