charge_end_I,charge_end_U,charge_end_soc,charge_energy,charge_max_temp,charge_min_temp,charge_start_I,charge_start_U,charge_start_soc,mileage,vehicle_id,year,month,week,day,hour,night,start,end,second_interval,charge_hour,dU,dsoc,ddsoc,dsoc/hour,dtemp,dmileage,dmileage/soc,interval_min,dU/dsoc,sum_charge,phase,charge_mode,energy/dsoc
-29.9,366.8,30.4,4.345,15,11,-47.0,349.6,24.8,104615.0,12,2017,11,2,1,9,0,2017-11-01 09:51:39,2017-11-01 10:03:09,690.0,0.19166666666666668,17.19999999999999,5.599999999999998,-8.8,29.217391304347814,4,,,,3.0714285714285707,0.19166666666666668,0,1,0.7758928571428574
-8.3,368.7,30.8,4.992,19,15,-7.3,352.8,24.8,104629.0,12,2017,11,2,1,11,0,2017-11-01 11:48:38,2017-11-01 13:25:08,5790.0,1.6083333333333334,15.899999999999977,6.0,5.599999999999998,3.7305699481865284,4,14.0,2.500000000000001,105.48333333333333,2.6499999999999964,1.8,0,0,0.832
-8.6,374.6,34.0,15.887,19,14,-9.1,333.8,14.4,104723.0,12,2017,11,2,1,19,0,2017-11-01 19:06:22,2017-11-02 00:10:27,18245.0,5.0680555555555555,40.80000000000001,19.6,16.4,3.8673609208002193,5,94.0,5.731707317073171,341.23333333333335,2.081632653061225,6.868055555555555,0,0,0.8105612244897958
-8.6,374.5,35.2,14.935,18,11,-8.7,334.8,16.8,105064.0,12,2017,11,4,3,18,0,2017-11-03 18:53:22,2017-11-03 23:38:02,17080.0,4.7444444444444445,39.69999999999999,18.400000000000002,6.399999999999999,3.878220140515223,7,35.0,5.468750000000001,130.0,2.157608695652173,11.6125,0,0,0.8116847826086956
-9.1,349.7,20.8,7.478,16,10,-5.7,328.7,11.2,105167.0,12,2017,11,5,4,12,0,2017-11-04 12:54:23,2017-11-04 15:18:22,8639.0,2.399722222222222,21.0,9.600000000000001,24.000000000000004,4.0004630165528425,6,103.0,4.291666666666666,796.35,2.1874999999999996,14.012222222222222,0,0,0.7789583333333332
-29.7,367.3,27.6,6.005,18,13,-5.2,346.5,20.4,105170.0,12,2017,11,5,4,15,0,2017-11-04 15:27:05,2017-11-04 15:46:54,1189.0,0.3302777777777778,20.80000000000001,7.200000000000003,0.40000000000000213,21.799831791421372,5,3.0,7.49999999999996,8.716666666666667,2.8888888888888893,14.3425,0,1,0.8340277777777775
-8.4,374.4,34.4,19.199,16,10,-9.6,326.3,10.4,105268.0,12,2017,11,5,4,19,0,2017-11-04 19:55:54,2017-11-05 02:07:09,22275.0,6.1875,48.099999999999966,24.0,17.200000000000003,3.878787878787879,6,98.0,5.697674418604651,249.0,2.004166666666665,20.53,0,0,0.7999583333333334
-16.2,374.3,35.6,6.8660000000000005,15,11,-63.8,363.6,27.6,105330.0,12,2017,11,6,5,10,0,2017-11-05 10:33:17,2017-11-05 11:16:19,2582.0,0.7172222222222222,10.699999999999989,8.0,6.799999999999997,11.15414407436096,4,62.0,9.117647058823533,506.1333333333333,1.3374999999999986,21.247222222222224,0,1,0.8582500000000001
-8.4,374.4,34.0,20.458,15,10,-9.6,321.2,8.4,105457.0,12,2017,11,6,5,20,0,2017-11-05 20:13:57,2017-11-06 02:47:32,23615.0,6.559722222222222,53.19999999999999,25.6,27.200000000000003,3.902604276942622,5,127.0,4.669117647058823,537.6333333333333,2.0781249999999996,27.806944444444447,0,0,0.7991406249999999
-7.3,374.3,34.0,20.113,14,8,-4.7,321.6,8.8,105996.0,12,2017,11,4,10,19,0,2017-11-10 19:40:31,2017-11-11 02:23:16,24165.0,6.7125,52.69999999999999,25.2,31.2,3.754189944134078,6,345.0,11.057692307692308,5306.183333333333,2.091269841269841,37.782222222222224,0,0,0.7981349206349206
-52.7,354.4,22.8,1.051,10,7,-18.6,345.1,21.6,106048.0,12,2017,11,5,11,9,0,2017-11-11 09:28:26,2017-11-11 09:31:37,191.0,0.05305555555555556,9.299999999999955,1.1999999999999993,12.399999999999999,22.617801047120405,3,52.0,4.193548387096775,425.1666666666667,7.749999999999966,37.835277777777776,0,1,0.8758333333333338
-16.2,369.8,30.8,6.54,13,7,-31.6,349.9,22.8,106048.0,12,2017,11,5,11,9,0,2017-11-11 09:38:39,2017-11-11 10:05:09,1590.0,0.44166666666666665,19.900000000000034,8.0,0.0,18.11320754716981,6,0.0,,7.033333333333333,2.4875000000000043,38.276944444444446,0,1,0.8175
-8.1,363.7,28.4,3.875,11,9,-8.8,351.0,23.6,106088.0,12,2017,11,5,11,17,0,2017-11-11 17:08:34,2017-11-11 18:27:34,4740.0,1.3166666666666667,12.699999999999989,4.799999999999997,7.199999999999999,3.6455696202531622,2,40.0,5.555555555555556,423.4166666666667,2.6458333333333326,39.593611111111116,0,0,0.8072916666666672
-8.0,358.2,27.2,2.49,10,8,-1.3,347.3,24.4,106104.0,12,2017,11,5,11,21,0,2017-11-11 21:08:55,2017-11-11 21:57:45,2930.0,0.8138888888888889,10.899999999999977,2.8000000000000007,4.0,3.440273037542663,2,16.0,4.0,161.35,3.892857142857134,40.407500000000006,0,0,0.8892857142857141
-5.5,374.6,35.2,6.655,11,7,-8.6,358.2,27.6,106104.0,12,2017,11,5,11,22,0,2017-11-11 22:01:20,2017-11-12 00:16:26,8106.0,2.2516666666666665,16.400000000000034,7.600000000000001,-0.40000000000000213,3.375277572168765,4,0.0,-0.0,3.5833333333333335,2.1578947368421093,42.65916666666667,0,0,0.875657894736842
-29.8,367.7,31.2,9.78,14,7,-13.7,335.4,19.2,106172.0,12,2017,11,0,13,9,0,2017-11-13 09:32:10,2017-11-13 10:02:30,1820.0,0.5055555555555555,32.30000000000001,12.0,16.000000000000004,23.736263736263737,7,68.0,4.249999999999999,1995.7333333333333,2.6916666666666678,43.164722222222224,0,1,0.815
-8.0,363.4,29.6,7.789,16,13,-8.4,340.5,19.6,106228.0,12,2017,11,0,13,13,0,2017-11-13 13:25:09,2017-11-13 16:05:09,9600.0,2.6666666666666665,22.899999999999977,10.0,11.599999999999998,3.75,3,56.0,4.8275862068965525,202.65,2.289999999999998,45.83138888888889,0,0,0.7788999999999999
-8.1,374.6,34.8,14.407,15,10,-9.1,336.1,16.8,106282.0,12,2017,11,0,13,19,0,2017-11-13 19:06:58,2017-11-13 23:54:57,17279.0,4.799722222222222,38.5,17.999999999999996,12.8,3.7502170264482895,5,54.0,4.21875,181.81666666666666,2.1388888888888893,50.63111111111111,0,0,0.800388888888889
-7.8,374.5,34.8,12.98,9,5,-3.9,338.8,19.2,106355.0,12,2017,11,1,14,19,0,2017-11-14 19:51:58,2017-11-15 00:16:03,15845.0,4.401388888888889,35.69999999999999,15.599999999999998,15.599999999999998,3.5443357526033448,4,73.0,4.67948717948718,1197.0166666666667,2.288461538461538,55.0325,0,0,0.8320512820512822
-5.9,374.4,31.2,23.198,8,3,-9.1,316.0,2.0,106476.0,12,2017,11,2,15,22,0,2017-11-15 22:39:48,2017-11-16 06:17:43,27475.0,7.631944444444445,58.39999999999998,29.2,32.8,3.8260236578707914,5,121.0,3.689024390243903,1343.75,1.9999999999999993,62.66444444444444,0,0,0.7944520547945206
-29.8,365.8,25.6,11.87,14,5,-63.7,335.6,10.8,106558.0,12,2017,11,3,16,10,0,2017-11-16 10:50:23,2017-11-16 11:22:56,1953.0,0.5425,30.19999999999999,14.8,20.4,27.281105990783413,9,82.0,4.019607843137255,272.6666666666667,2.0405405405405395,63.20694444444444,0,1,0.8020270270270269
-8.4,367.3,30.4,6.319,14,11,-7.5,348.1,22.8,106585.0,12,2017,11,3,16,13,0,2017-11-16 13:00:46,2017-11-16 15:03:06,7340.0,2.0388888888888888,19.19999999999999,7.599999999999998,2.8000000000000007,3.7275204359673015,3,27.0,9.64285714285714,97.83333333333333,2.5263157894736836,65.24583333333332,0,0,0.8314473684210528
-7.6,374.5,40.0,24.69,14,5,-9.7,290.4,4.0,106704.0,12,2017,11,3,16,20,0,2017-11-16 20:38:45,2017-11-17 04:47:40,29335.0,8.14861111111111,84.10000000000002,36.0,26.4,4.417930799386399,9,119.0,4.507575757575758,335.65,2.3361111111111117,73.39444444444443,0,0,0.6858333333333334
