charge_end_I,charge_end_U,charge_end_soc,charge_energy,charge_max_temp,charge_min_temp,charge_start_I,charge_start_U,charge_start_soc,mileage,vehicle_id,year,month,week,day,hour,night,start,end,second_interval,charge_hour,dU,dsoc,ddsoc,dsoc/hour,dtemp,dmileage,dmileage/soc,interval_min,dU/dsoc,sum_charge,charge_mode
-17.2,397.0,96.0,7.41,29,23,-57.3,387.5,79.0,62072.7,10,2018,4,2,18,16,0,2018-04-18 16:31:54,2018-04-18 17:11:54,2400.0,0.6666666666666666,9.5,17.0,-29.0,25.5,6,,,,0.5588235294117647,0.6666666666666666,3
-17.2,397.1,99.0,12.27,30,24,-97.0,380.1,70.0,62150.3,10,2018,4,3,19,0,0,2018-04-19 00:38:09,2018-04-19 01:25:09,2820.0,0.7833333333333333,17.0,29.0,26.0,37.02127659574468,6,77.60000000000582,2.9846153846156085,446.25,0.5862068965517241,1.45,3
-22.8,395.4,93.0,18.837,31,24,-59.3,357.4,48.0,62286.3,10,2018,4,3,19,10,0,2018-04-19 10:53:59,2018-04-19 11:38:30,2671.0,0.7419444444444444,38.0,45.0,51.0,60.65144140771247,7,136.0,2.6666666666666665,568.8333333333334,0.8444444444444444,2.1919444444444443,3
-17.3,397.0,96.0,12.979000000000001,32,24,-54.3,371.2,66.0,62363.4,10,2018,4,3,19,16,0,2018-04-19 16:22:33,2018-04-19 17:12:04,2971.0,0.8252777777777778,25.80000000000001,30.0,27.0,36.351396836082124,8,77.09999999999854,2.8555555555555014,284.05,0.8600000000000004,3.0172222222222222,3
-17.1,397.1,95.0,30.113000000000003,34,24,-18.9,334.7,23.0,62562.8,10,2018,4,4,20,0,0,2018-04-20 00:25:11,2018-04-20 01:46:43,4892.0,1.3588888888888888,62.400000000000034,72.0,73.0,52.98446443172527,10,199.40000000000146,2.7315068493150885,433.1166666666667,0.8666666666666671,4.376111111111111,3
-17.3,397.2,98.0,17.191,33,24,-46.5,359.9,57.0,62675.5,10,2018,4,4,20,10,0,2018-04-20 10:04:19,2018-04-20 11:00:50,3391.0,0.9419444444444445,37.30000000000001,41.0,38.0,43.52698319079917,9,112.69999999999709,2.965789473684134,497.6,0.9097560975609759,5.3180555555555555,3
-17.0,397.0,96.0,25.574,33,24,-65.5,351.2,36.0,62840.6,10,2018,4,5,21,1,0,2018-04-21 01:07:26,2018-04-21 02:20:27,4381.0,1.2169444444444444,45.80000000000001,60.0,62.0,49.303811915087884,9,165.09999999999854,2.6629032258064282,846.6,0.7633333333333335,6.535,3
-17.1,397.0,95.0,11.267999999999999,30,24,-55.2,376.2,68.0,63091.4,10,2018,4,5,21,16,0,2018-04-21 16:19:49,2018-04-21 17:05:49,2760.0,0.7666666666666667,20.80000000000001,27.0,28.0,35.21739130434782,6,250.8000000000029,8.95714285714296,839.3666666666667,0.7703703703703708,7.301666666666667,3
-17.3,397.0,96.0,29.180999999999997,33,24,-54.1,341.7,26.0,63273.4,10,2018,4,6,22,1,0,2018-04-22 01:10:53,2018-04-22 02:28:24,4651.0,1.2919444444444443,55.30000000000001,70.0,69.0,54.181896366372825,9,182.0,2.63768115942029,485.06666666666666,0.7900000000000001,8.59361111111111,3
-17.3,397.2,98.0,17.885,30,24,-83.1,364.2,56.0,63401.3,10,2018,4,6,22,11,0,2018-04-22 11:10:26,2018-04-22 12:08:57,3511.0,0.9752777777777778,33.0,42.0,40.0,43.06465394474509,6,127.90000000000146,3.197500000000036,522.0333333333333,0.7857142857142857,9.568888888888889,3
