charge_end_I,charge_end_U,charge_end_soc,charge_energy,charge_max_temp,charge_min_temp,charge_start_I,charge_start_U,charge_start_soc,mileage,vehicle_id,year,month,week,day,hour,night,start,end,second_interval,charge_hour,dU,dsoc,ddsoc,dsoc/hour,dtemp,dmileage,dmileage/soc,interval_min,dU/dsoc,sum_charge,charge_mode
-64.9,386.3,67.0,17.651,31,23,-33.4,345.2,19.0,66546.6,9,2018,4,2,18,16,0,2018-04-18 16:59:35,2018-04-18 17:45:06,2731.0,0.7586111111111111,41.10000000000002,48.0,72.0,63.27352618088612,8,,,,0.8562500000000005,0.7586111111111111,1
-62.0,358.4,28.0,4.133,37,29,-20.7,342.3,16.0,66647.3,9,2018,4,2,18,20,0,2018-04-18 20:09:39,2018-04-18 20:21:09,690.0,0.19166666666666668,16.099999999999966,12.0,51.0,62.60869565217391,8,100.69999999999709,1.9745098039215117,144.55,1.341666666666664,0.9502777777777778,1
-64.9,378.6,55.0,9.422,32,22,-62.0,359.3,29.0,66647.3,9,2018,4,2,18,20,0,2018-04-18 20:22:39,2018-04-18 20:47:09,1470.0,0.4083333333333333,19.30000000000001,26.0,-1.0,63.673469387755105,10,0.0,-0.0,1.5,0.7423076923076928,1.3586111111111112,1
-56.0,379.4,57.0,12.715,30,23,-43.7,350.3,22.0,66727.0,9,2018,4,2,18,23,0,2018-04-18 23:41:13,2018-04-19 00:17:44,2191.0,0.6086111111111111,29.099999999999966,35.0,33.0,57.50798722044728,7,79.69999999999709,2.415151515151427,174.06666666666666,0.8314285714285704,1.9672222222222224,1
-33.5,394.4,80.0,19.694000000000003,32,23,-30.7,350.0,25.0,66897.4,9,2018,4,3,19,13,0,2018-04-19 13:51:42,2018-04-19 15:32:44,6062.0,1.683888888888889,44.39999999999998,55.0,32.0,32.66248762784559,9,170.39999999999418,5.324999999999818,813.9666666666667,0.8072727272727268,3.6511111111111116,1
-41.0,394.3,77.0,14.007,30,22,-50.3,359.9,40.0,67007.4,9,2018,4,4,20,0,0,2018-04-20 00:03:12,2018-04-20 00:34:12,1860.0,0.5166666666666667,34.400000000000034,37.0,40.0,71.61290322580645,8,110.0,2.75,510.46666666666664,0.9297297297297307,4.167777777777778,1
-5.1,398.5,95.0,9.574,25,24,-5.2,379.5,70.0,67029.6,9,2018,4,4,20,1,0,2018-04-20 01:31:44,2018-04-20 06:15:19,17015.0,4.726388888888889,19.0,25.0,7.0,5.289450484866294,1,22.20000000001164,3.1714285714302344,57.53333333333333,0.76,8.894166666666667,0
0.0,380.4,71.0,14.482000000000001,34,27,-34.9,352.9,33.0,67203.1,9,2018,4,4,20,14,0,2018-04-20 14:24:58,2018-04-20 14:50:59,1561.0,0.4336111111111111,27.5,38.0,62.0,87.63613068545804,7,173.5,2.7983870967741935,489.65,0.7236842105263158,9.327777777777778,1
-23.2,372.8,60.0,0.655,32,28,-23.9,370.2,58.0,67238.1,9,2018,4,4,20,15,0,2018-04-20 15:35:30,2018-04-20 15:40:00,270.0,0.075,2.6000000000000227,2.0,13.0,26.666666666666668,4,35.0,2.6923076923076925,44.516666666666666,1.3000000000000114,9.402777777777777,1
-17.3,397.9,92.0,11.918,29,22,-23.3,373.2,61.0,67238.2,9,2018,4,4,20,15,0,2018-04-20 15:41:00,2018-04-20 16:54:02,4382.0,1.2172222222222222,24.69999999999999,31.0,-1.0,25.467822911912368,7,0.09999999999126885,-0.09999999999126885,1.0,0.7967741935483867,10.62,1
-5.0,398.5,99.0,33.667,34,27,-5.7,331.0,8.0,67456.0,9,2018,4,4,20,23,0,2018-04-20 23:52:40,2018-04-21 16:32:00,59960.0,16.655555555555555,67.5,91.0,84.0,5.463642428285524,7,217.8000000000029,2.5928571428571776,418.6333333333333,0.7417582417582418,27.275555555555556,0
-64.9,387.0,66.0,10.593,31,22,-51.6,357.6,37.0,67703.5,9,2018,4,6,22,16,0,2018-04-22 16:45:19,2018-04-22 17:12:20,1621.0,0.4502777777777778,29.399999999999977,29.0,62.0,64.40468846391117,9,247.5,3.9919354838709675,1453.3166666666666,1.013793103448275,27.725833333333334,1
-44.4,395.4,80.0,14.28,31,22,-25.9,356.7,42.0,67751.0,9,2018,4,6,22,18,0,2018-04-22 18:42:21,2018-04-22 19:11:52,1771.0,0.49194444444444446,38.69999999999999,38.0,24.0,77.24449463579899,9,47.5,1.9791666666666667,90.01666666666667,1.0184210526315787,28.21777777777778,1
-26.4,381.0,68.0,3.898,27,25,-26.4,369.8,57.0,67799.0,9,2018,4,6,22,20,0,2018-04-22 20:24:23,2018-04-22 20:47:53,1410.0,0.39166666666666666,11.199999999999989,11.0,23.0,28.085106382978722,2,48.0,2.0869565217391304,72.51666666666667,1.0181818181818172,28.609444444444446,1
